          0 00000000000000000000000000000000 00000000000000000000000000000000 00 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x x
          1 00000000000000000000000000000000 00000000000000000000000000000000 00 00000000000000000000000000000000 x x
          2 00000000000000000000000000000000 00000000000000000000000000000000 00 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x x
          3 01000011011100000000000000000000 01000010111100000000000000000000 00 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x x
          4 01000011011100000000000000000000 01000010111100000000000000000000 00 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x x
          5 01000011011100000000000000000000 01000010111100000000000000000000 00 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 0 0
          6 01000011011100000000000000000000 01000010111100000000000000000000 00 01000011101101000000000000000000 0 0
          7 01000011011100000000000000000000 01000010111100000000000000000000 00 01000011101101000000000000000000 0 0
          8 01000011010100000000000000000000 01000010101100000000000000000000 01 01000011101101000000000000000000 0 0
          9 01000011010100000000000000000000 01000010101100000000000000000000 01 01000011101101000000000000000000 0 0
         10 01000011010100000000000000000000 01000010101100000000000000000000 01 01000010111100000000000000000000 0 0
         11 01000011010100000000000000000000 01000010101100000000000000000000 01 01000010111100000000000000000000 0 0
         12 11000011011100000000000000000000 11000010111100000000000000000000 10 01000010111100000000000000000000 0 0
         13 11000011011100000000000000000000 11000010111100000000000000000000 10 01000010111100000000000000000000 0 0
         14 11000011011100000000000000000000 11000010111100000000000000000000 10 01000110111000010000000000000000 0 0
         15 11000011011100000000000000000000 11000010111100000000000000000000 10 01000110111000010000000000000000 0 0
         16 01000011011100000000000000000000 11000010111100000000000000000000 11 01000110111000010000000000000000 0 0
         17 01000011011100000000000000000000 11000010111100000000000000000000 11 01000110111000010000000000000000 0 0
         18 01000011011100000000000000000000 11000010111100000000000000000000 11 11000000000000000000000000000000 0 0
         19 01000011011100000000000000000000 11000010111100000000000000000000 11 11000000000000000000000000000000 0 0
         20 01000000000000001000000000000000 01000000100000001000000000000000 00 11000000000000000000000000000000 0 0
         21 01000000000000001000000000000000 01000000100000001000000000000000 00 11000000000000000000000000000000 0 0
         22 01000000000000001000000000000000 01000000100000001000000000000000 00 01000000110000010000000000000000 0 0
         23 01000000000000001000000000000000 01000000100000001000000000000000 00 01000000110000010000000000000000 0 0
         24 01000000000000001000000000000000 01000000100000001000000000000000 00 01000000110000010000000000000000 0 0
         25 01000000000000001000000000000000 01000000100000001000000000000000 00 01000000110000001000000000000000 0 0
         26 01000000000000001000000000000000 01000000100000001000000000000000 00 01000000110000001000000000000000 0 0
         27 01111111000000010000000000000000 01111111000000010000000000000000 00 01000000110000001000000000000000 0 0
         28 01111111000000010000000000000000 01111111000000010000000000000000 00 01000000110000001000000000000000 0 0
         29 01111111000000010000000000000000 01111111000000010000000000000000 00 01111111100000000000000000000000 1 0
         30 01111111000000010000000000000000 01111111000000010000000000000000 00 01111111100000000000000000000000 1 0
         31 01111111010000010000000000000000 11100000011100000000000000000000 10 01111111100000000000000000000000 1 0
         32 01111111010000010000000000000000 11100000011100000000000000000000 10 01111111100000000000000000000000 1 0
         33 01111111010000010000000000000000 11100000011100000000000000000000 10 01111111100000000000000000000000 0 0
         34 01111111010000010000000000000000 11100000011100000000000000000000 10 11111111100000000000000000000000 1 0
         35 01111111010000010000000000000000 11100000011100000000000000000000 10 11111111100000000000000000000000 1 0
         36 01111111000000010000000000000000 01111111000000010000000000000000 01 11111111100000000000000000000000 1 0
         37 01111111000000010000000000000000 01111111000000010000000000000000 01 11111111100000000000000000000000 1 0
         38 01111111000000010000000000000000 01111111000000010000000000000000 01 11111111100000000000000000000000 0 0
         39 01111111000000010000000000000000 01111111000000010000000000000000 01 00000000000000000000000000000000 0 0
         40 01111111000000010000000000000000 01111111000000010000000000000000 01 00000000000000000000000000000000 0 0
         41 00000000000000010000000000000000 11111111000000010000000000000000 11 00000000000000000000000000000000 0 0
         42 00000000000000010000000000000000 11111111000000010000000000000000 11 00000000000000000000000000000000 0 0
         43 00000000000000010000000000000000 11111111000000010000000000000000 11 10000000000000000000000000000000 0 0
         44 00000000000000010000000000000000 11111111000000010000000000000000 11 10000000000000000000000000000000 0 0
         45 01111111100000000000000000000000 11111111100000000000000000000000 00 10000000000000000000000000000000 0 0
         46 01111111100000000000000000000000 11111111100000000000000000000000 00 10000000000000000000000000000000 0 0
