VCD info: dumpfile tb_FPU.vcd opened for output.
          0 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = x, Error = x
          1 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = x, Error = x
          2 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = x, Error = x
          3 A = 01000011011100000000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = x, Error = x
          4 A = 01000011011100000000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = x, Error = x
          5 A = 01000011011100000000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = 0, Error = 0
          6 A = 01000011011100000000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
          7 A = 01000011011100000000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = 01000011101101000000000000000000, Overflow = 0, Error = 0
          8 A = 01000011010100000000000000000000, B = 01000010101100000000000000000000, Sel = 01, Y = 01000011101101000000000000000000, Overflow = 0, Error = 0
          9 A = 01000011010100000000000000000000, B = 01000010101100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         10 A = 01000011010100000000000000000000, B = 01000010101100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         11 A = 01000011010100000000000000000000, B = 01000010101100000000000000000000, Sel = 01, Y = 01000010111100000000000000000000, Overflow = 0, Error = 0
         12 A = 11000011011100000000000000000000, B = 11000010111100000000000000000000, Sel = 10, Y = 01000010111100000000000000000000, Overflow = 0, Error = 0
         13 A = 11000011011100000000000000000000, B = 11000010111100000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         14 A = 11000011011100000000000000000000, B = 11000010111100000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         15 A = 11000011011100000000000000000000, B = 11000010111100000000000000000000, Sel = 10, Y = 01000110111000010000000000000000, Overflow = 0, Error = 0
         16 A = 01000011011100000000000000000000, B = 11000010111100000000000000000000, Sel = 11, Y = 01000110111000010000000000000000, Overflow = 0, Error = 0
         17 A = 01000011011100000000000000000000, B = 11000010111100000000000000000000, Sel = 11, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         18 A = 01000011011100000000000000000000, B = 11000010111100000000000000000000, Sel = 11, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         19 A = 01000011011100000000000000000000, B = 11000010111100000000000000000000, Sel = 11, Y = 11000000000000000000000000000000, Overflow = 0, Error = 0
         20 A = 01000000000000001000000000000000, B = 01000000100000001000000000000000, Sel = 00, Y = 11000000000000000000000000000000, Overflow = 0, Error = 0
         21 A = 01000000000000001000000000000000, B = 01000000100000001000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         22 A = 01000000000000001000000000000000, B = 01000000100000001000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         23 A = 01000000000000001000000000000000, B = 01000000100000001000000000000000, Sel = 00, Y = 01000000110000010000000000000000, Overflow = 0, Error = 0
         24 A = 01000000000000001000000000000000, B = 01000000100000001000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         25 A = 01000000000000001000000000000000, B = 01000000100000001000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         26 A = 01000000000000001000000000000000, B = 01000000100000001000000000000000, Sel = 00, Y = 01000000110000001000000000000000, Overflow = 0, Error = 0
         27 A = 01111111000000010000000000000000, B = 01111111000000010000000000000000, Sel = 00, Y = 01000000110000001000000000000000, Overflow = 0, Error = 0
         28 A = 01111111000000010000000000000000, B = 01111111000000010000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         29 A = 01111111000000010000000000000000, B = 01111111000000010000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 1, Error = 0
         30 A = 01111111000000010000000000000000, B = 01111111000000010000000000000000, Sel = 00, Y = 01111111100000000000000000000000, Overflow = 1, Error = 0
         31 A = 01111111010000010000000000000000, B = 11100000011100000000000000000000, Sel = 10, Y = 01111111100000000000000000000000, Overflow = 1, Error = 0
         32 A = 01111111010000010000000000000000, B = 11100000011100000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 1, Error = 0
